time,x,y,yaw,vel_x,yaw_vel,ob_x,ob_y,path x,path y
96.25112343,1.693885437,4.668507871,45.65888784,0.15,0,,,,
96.29761648,1.694187744,4.668819412,46.21764922,0.15,0,,,,
96.36197996,1.695523362,4.67025115,47.7064491,0.15,0,,,,
96.41144705,1.696699778,4.671562992,48.66495441,0.15,0,,,,
96.48610282,1.700131553,4.675609992,50.77751451,0,-0.2,,,,
96.54934621,1.702418254,4.67845657,51.70981497,0,-0.2,,,,
96.61600471,1.70473087,4.681406082,51.98234636,0,-0.2,,,,
96.67301846,1.706608308,4.683805766,51.9229568,0,-0.2,,,,
96.73460531,1.708518329,4.686242918,51.55106016,0,-0.2,,,,
96.79074907,1.708555139,4.686291773,51.16177603,0,-0.2,,,,
96.85177064,1.708591215,4.686338982,50.78389206,0,-0.2,,,,
96.91429639,1.708665498,4.686434196,50.01651806,0,-0.2,,,,
96.96349239,1.708702593,4.686480773,49.63848127,0,-0.2,,,,
97.02381516,1.708778929,4.686574676,48.87079638,0.15,0,,,,
97.06538892,1.709164234,4.6870121,48.1479101,0.15,0,,,,
97.12979102,1.710102087,4.688053673,47.76318078,0.15,0,,,,
97.18485355,1.71359906,4.691848303,46.92758499,0.15,0,,,,
97.23489881,1.716251069,4.694664529,46.48939792,0.15,0,,,,
97.30846834,1.72267353,4.70135681,46.03366215,0.15,0,,,,
97.37329054,1.726217425,4.705030807,46.0329916,0.15,0,,,,
97.42160749,1.729656462,4.708596044,46.03283584,0.15,0,,,,
97.47921848,1.736627879,4.715823111,46.04158381,0.15,0,,,,
97.54787421,1.743436065,4.722889707,46.05505439,0.15,0,,,,
97.59963512,1.746933419,4.726515774,46.01316361,0.15,0,,,,
97.66457319,1.75379408,4.733621247,46.00398501,0.15,0,,,,
97.76641965,1.757333616,4.737287074,46.00414313,0.15,0,,,,
97.8268249,1.764205956,4.74440464,46.00411914,0.15,0,,,,
97.88256407,1.764205956,4.74440464,46.00411914,0.15,0,,,,
97.94513893,1.771184741,4.751632362,46.00367747,0.15,0,,,,
